"Вид отклонения","Результат проверки","Дата и время регистрации отклонения","Товарная группа","Субъект","Адрес места фиксации отклонения","Номер документа","Код","Идентификатор ВСД","Регистрационный номер ККТ (из чека)","Дата и время выполнения операции, в результате которой было выявлено отклонение","ИНН участника","Номер отклонения","Нивелировано","Объем из ВСД","Единицы измерения из ВСД","Объем из ГИС МТ","Единицы измерения из ГИС МТ","Разницы между объемами","Единицы измерения разницы","% превышения","GTIN","Идентификатор ФИАС","Муниципальный округ","Фискальный номер накопителя из чека операции","Проверка РР"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 12:12:35","Молочная продукция","Хабаровский край","Хабаровский край, г Хабаровск, ул Горького, 59","43878738044070013672723","0104602358004721215Ypt7K",,"0008180969026672","2025-06-15 16:03:00","2724235106","9c7fbcff-6290-4d50-b65a-a9a709b98f8a","Нет",,,,,,,,"04602358004721","591d3d51-19e9-4c75-970b-e3d2048d4caf","Хабаровск","7380440700136727","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 12:11:32","Молочная продукция","Хабаровский край","Хабаровский край, Хабаровский р-н, с Некрасовка, ул Ленина, 7","178357380440801740631482","0104660214292538215AN%b!",,"","2025-06-15 16:02:00","2724235106","221bf60e-960e-4348-9667-205d98cce68b","Нет",,,,,,,,"04660214292538","70945d19-8005-475b-a727-ea1a9188d392","Хабаровский","7380440801740631","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 11:53:54","Молочная продукция","Хабаровский край","Хабаровский край, г Хабаровск, ул Горького, 59","43872738044070013672723","0104607035080104215vUung",,"0008180969026672","2025-06-15 15:46:00","2724235106","fae1a03e-aee4-4da1-9b91-020ddf0a91f6","Нет",,,,,,,,"04607035080104","591d3d51-19e9-4c75-970b-e3d2048d4caf","Хабаровск","7380440700136727","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 11:53:54","Молочная продукция","Хабаровский край","Хабаровский край, г Хабаровск, ул Горького, 59","43871738044070013672723","0104607035080104215hpU:&",,"0008180969026672","2025-06-15 15:46:00","2724235106","637d8e6c-6d2b-462d-ab62-ff68535701e4","Нет",,,,,,,,"04607035080104","591d3d51-19e9-4c75-970b-e3d2048d4caf","Хабаровск","7380440700136727","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 11:53:54","Молочная продукция","Хабаровский край","Хабаровский край, г Хабаровск, ул Горького, 59","43871738044070013672723","0104607035080104215.5Kt&",,"0008180969026672","2025-06-15 15:46:00","2724235106","8b030014-4473-4254-a5b9-a9c7475fd65b","Нет",,,,,,,,"04607035080104","591d3d51-19e9-4c75-970b-e3d2048d4caf","Хабаровск","7380440700136727","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 11:53:54","Молочная продукция","Хабаровский край","Хабаровский край, г Хабаровск, ул Горького, 59","43872738044070013672723","0104607035080104215DgARf",,"0008180969026672","2025-06-15 15:46:00","2724235106","844b6f71-d57f-4035-8508-6dd1eea88f41","Нет",,,,,,,,"04607035080104","591d3d51-19e9-4c75-970b-e3d2048d4caf","Хабаровск","7380440700136727","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 11:53:54","Молочная продукция","Хабаровский край","Хабаровский край, г Хабаровск, ул Горького, 59","43871738044070013672723","0104605627011581215vDlFK",,"0008180969026672","2025-06-15 15:46:00","2724235106","d672207c-335b-4987-96f9-39125633162d","Нет",,,,,,,,"04605627011581","591d3d51-19e9-4c75-970b-e3d2048d4caf","Хабаровск","7380440700136727","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 11:53:54","Молочная продукция","Хабаровский край","Хабаровский край, г Хабаровск, ул Горького, 59","43871738044070013672723","0104605627011581215IUtLV",,"0008180969026672","2025-06-15 15:46:00","2724235106","a75fba9c-1b73-4491-818d-4ce2bcb7e7e5","Нет",,,,,,,,"04605627011581","591d3d51-19e9-4c75-970b-e3d2048d4caf","Хабаровск","7380440700136727","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 11:53:54","Молочная продукция","Хабаровский край","Хабаровский край, г Хабаровск, ул Горького, 59","43871738044070013672723","0104605627011581215hp&0""",,"0008180969026672","2025-06-15 15:46:00","2724235106","36af8450-fedc-4bca-b2ac-440e871b9d9e","Нет",,,,,,,,"04605627011581","591d3d51-19e9-4c75-970b-e3d2048d4caf","Хабаровск","7380440700136727","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 11:53:54","Молочная продукция","Хабаровский край","Хабаровский край, г Хабаровск, ул Горького, 59","43871738044070013672723","0104602358004721215z""kI;",,"0008180969026672","2025-06-15 15:46:00","2724235106","dcd5f5c4-1ade-4dee-a3d2-8391dcf530b6","Нет",,,,,,,,"04602358004721","591d3d51-19e9-4c75-970b-e3d2048d4caf","Хабаровск","7380440700136727","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 11:53:54","Молочная продукция","Хабаровский край","Хабаровский край, г Хабаровск, ул Горького, 59","43871738044070013672723","0104602358004721215fGTsi",,"0008180969026672","2025-06-15 15:46:00","2724235106","749a0bc5-8d24-4793-857c-eb6a40c7de36","Нет",,,,,,,,"04602358004721","591d3d51-19e9-4c75-970b-e3d2048d4caf","Хабаровск","7380440700136727","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 11:53:54","Молочная продукция","Хабаровский край","Хабаровский край, г Хабаровск, ул Горького, 59","43871738044070013672723","0104602358004721215fHM<O",,"0008180969026672","2025-06-15 15:46:00","2724235106","a808b8ff-be11-4645-8f37-7129db768c5c","Нет",,,,,,,,"04602358004721","591d3d51-19e9-4c75-970b-e3d2048d4caf","Хабаровск","7380440700136727","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 11:53:54","Молочная продукция","Хабаровский край","Хабаровский край, г Хабаровск, ул Горького, 59","43871738044070013672723","0104602358004721215Sct""K",,"0008180969026672","2025-06-15 15:46:00","2724235106","a235826a-171e-4b18-b595-5515799bc02f","Нет",,,,,,,,"04602358004721","591d3d51-19e9-4c75-970b-e3d2048d4caf","Хабаровск","7380440700136727","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 11:53:54","Молочная продукция","Хабаровский край","Хабаровский край, г Хабаровск, ул Горького, 59","43871738044070013672723","01046023580047212153nhu:",,"0008180969026672","2025-06-15 15:46:00","2724235106","c5f233b8-bd7e-4b05-a144-cc9723e4217f","Нет",,,,,,,,"04602358004721","591d3d51-19e9-4c75-970b-e3d2048d4caf","Хабаровск","7380440700136727","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 11:52:15","Молочная продукция","Хабаровский край","Хабаровский край, г Хабаровск, ул Горького, 59","43869738044070013672723","0104607168785402215pzM-q",,"0008180969026672","2025-06-15 15:44:00","2724235106","60d99f91-7fd8-4420-8f59-f4a8abf089bc","Нет",,,,,,,,"04607168785402","591d3d51-19e9-4c75-970b-e3d2048d4caf","Хабаровск","7380440700136727","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 11:46:52","Молочная продукция","Хабаровский край","Хабаровский край, г Хабаровск, ул Горького, 59","43865738044070013672723","0104607035080104215LVbtq",,"0008180969026672","2025-06-15 15:37:00","2724235106","3b314ab2-5695-4665-bc5b-7b891630552d","Нет",,,,,,,,"04607035080104","591d3d51-19e9-4c75-970b-e3d2048d4caf","Хабаровск","7380440700136727","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 11:46:52","Молочная продукция","Хабаровский край","Хабаровский край, г Хабаровск, ул Горького, 59","43865738044070013672723","0104607035080104215f(ADN",,"0008180969026672","2025-06-15 15:37:00","2724235106","212fa217-5d3e-43a9-aaff-1c29e1af8796","Нет",,,,,,,,"04607035080104","591d3d51-19e9-4c75-970b-e3d2048d4caf","Хабаровск","7380440700136727","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 11:46:52","Молочная продукция","Хабаровский край","Хабаровский край, г Хабаровск, ул Горького, 59","43865738044070013672723","0104607035080104215YggAj",,"0008180969026672","2025-06-15 15:37:00","2724235106","17223685-9857-4e6d-a86d-a78083d0f6ff","Нет",,,,,,,,"04607035080104","591d3d51-19e9-4c75-970b-e3d2048d4caf","Хабаровск","7380440700136727","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 11:38:51","Молочная продукция","Хабаровский край","Хабаровский край, г Хабаровск, ул Горького, 59","43863738044070013672723","0104600493000196215CdGE-",,"0008180969026672","2025-06-15 15:27:00","2724235106","5679e971-1e04-4435-9305-bb37d515749c","Нет",,,,,,,,"04600493000196","591d3d51-19e9-4c75-970b-e3d2048d4caf","Хабаровск","7380440700136727","Нет"
