"Вид отклонения","Результат проверки","Дата и время регистрации отклонения","Товарная группа","Субъект","Адрес места фиксации отклонения","Номер документа","Код","Идентификатор ВСД","Регистрационный номер ККТ (из чека)","Дата и время выполнения операции, в результате которой было выявлено отклонение","ИНН участника","Номер отклонения","Нивелировано","Объем из ВСД","Единицы измерения из ВСД","Объем из ГИС МТ","Единицы измерения из ГИС МТ","Разницы между объемами","Единицы измерения разницы","% превышения","GTIN","Идентификатор ФИАС","Муниципальный округ","Фискальный номер накопителя из чека операции","Проверка РР"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 12:00:38","Молочная продукция","Алтайский край","Алтайский край, г Барнаул, рп Южный, пр-кт Дзержинского, 41","515597380440700664457482","0104627175131177215WrBFD",,"","2025-06-15 12:53:00","2224156015","1415ca67-77e3-4097-926c-e1c6f7b27877","Нет",,,,,,,,"04627175131177","edd47026-e3ac-4112-b029-b5c1fd7eaf31","Барнаул","7380440700664457","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 12:00:38","Молочная продукция","Алтайский край","Алтайский край, Михайловский р-н, с Михайловское, ул Некрасова, 56","189827380440801141693482","0104627175131177215UdtNP",,"","2025-06-15 12:56:00","2224156015","714d274d-5fa5-4046-ae49-89653596ce0d","Нет",,,,,,,,"04627175131177","a95a04b4-3180-48e4-843b-1da73a0953de","Михайловский","7380440801141693","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 11:56:56","Молочная продукция","Алтайский край","Алтайский край, Ключевский р-н, с Ключи, ул Карла Маркса, 45Б","12947380440802123561482","0104627175131177215cxukY",,"","2025-06-15 12:50:00","2224156015","7cccfca7-c122-4b7e-9cb5-566ac4618b30","Нет",,,,,,,,"04627175131177","ac03d093-a3d7-49bc-9791-f27c487f68a9","Ключевский","7380440802123561","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 11:56:56","Молочная продукция","Алтайский край","Алтайский край, Завьяловский р-н, с Завьялово, ул Мичурина, 23, стр 5","398237380440700361953482","0104627175131177215NKNOy",,"","2025-06-15 12:52:00","2224156015","61bc8a2d-3db6-4e3a-973a-98f0f203609e","Нет",,,,,,,,"04627175131177","b05c00d8-4315-4698-ab1f-20cf32da89a5","Завьяловский","7380440700361953","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 11:56:56","Молочная продукция","Алтайский край","Алтайский край, г Бийск, ул Льва Толстого, 111","232097380440700397488482","0104627175131030215NX;dd",,"","2025-06-15 12:54:00","2224156015","448f4f40-7d15-41ee-b5cc-a78285686f24","Нет",,,,,,,,"04627175131030","09713315-c487-4e27-834d-59e643350a4d","Бийск","7380440700397488","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 11:56:56","Молочная продукция","Алтайский край","Алтайский край, Змеиногорский р-н, г Змеиногорск, ул К.Маркса, 75","114237380440801421807482","0104627175131177215cfh'a",,"","2025-06-15 12:51:00","2224156015","013e3713-a45c-4e19-b35a-c0b6ae0bc270","Нет",,,,,,,,"04627175131177","dc082de6-c51b-4709-bc08-9906a8027b12","Змеиногорский","7380440801421807","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 11:56:56","Молочная продукция","Алтайский край","Алтайский край, Романовский р-н, с Романово, ул Ленинская, 70А","239907384440800475426482","0104627175131030215mXG-E",,"","2025-06-15 12:52:00","2224156015","cf220677-a5e6-461b-8f80-e8980fd90add","Нет",,,,,,,,"04627175131030","b7c1d2c5-6b39-475a-a9aa-b611acc7d1ce","Романовский","7384440800475426","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 11:56:56","Молочная продукция","Алтайский край","Алтайский край, Романовский р-н, с Романово, ул Ленинская, 70А","239907384440800475426482","0104627175131177215Z*1TP",,"","2025-06-15 12:52:00","2224156015","121e5d23-1f23-4bea-a09d-64618da08ac5","Нет",,,,,,,,"04627175131177","b7c1d2c5-6b39-475a-a9aa-b611acc7d1ce","Романовский","7384440800475426","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 11:56:56","Молочная продукция","Алтайский край","Алтайский край, Смоленский р-н, с Смоленское, ул Горная, 14А","14417384440900662612482","0104627175131030215oC&Bt",,"","2025-06-15 12:53:00","2224156015","d0a29350-fa3f-427c-a6f8-9d06e57abd1f","Нет",,,,,,,,"04627175131030","23d37375-45dc-434c-b954-4e8a72e61270","Смоленский","7384440900662612","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 11:56:56","Молочная продукция","Алтайский край","Алтайский край, г Рубцовск, ул Октябрьская, 84","69707380440801371299482","0104627175131177215,&wAR",,"","2025-06-15 12:52:00","2224156015","84795a62-545c-4d60-8b81-92a4082fd88c","Нет",,,,,,,,"04627175131177","f427bc81-ceb4-4b17-935e-8e6902926805","Рубцовск","7380440801371299","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 11:56:56","Молочная продукция","Алтайский край","Алтайский край, Топчихинский р-н, с Топчиха, ул Правды, 2/6","138987384440800349213482","0104627175131177215Tqs/M",,"","2025-06-15 12:53:00","2224156015","06c93cf9-1d8b-43e6-b090-58c119e21caf","Нет",,,,,,,,"04627175131177","7b4ec75d-fe7a-4cfd-96d6-2240f0e88c6b","Топчихинский","7384440800349213","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 11:56:56","Молочная продукция","Алтайский край","Алтайский край, Павловский р-н, с Павловск, ул Л.Толстого, 18","630157281440500397651482","0104627175131177215Crli4",,"","2025-06-15 12:51:00","2224156015","dafc85ae-1297-42ab-9058-98d2ade9337b","Нет",,,,,,,,"04627175131177","896a4fc7-2594-4a6c-8faf-f4c35b1063e8","Павловский","7281440500397651","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 11:56:56","Молочная продукция","Алтайский край","Алтайский край, Павловский р-н, с Павловск, ул Л.Толстого, 18","630167281440500397651482","0104627175131177215ne<FE",,"","2025-06-15 12:53:00","2224156015","e2c704bd-cb45-4f55-ad48-ec9dd19f53ef","Нет",,,,,,,,"04627175131177","896a4fc7-2594-4a6c-8faf-f4c35b1063e8","Павловский","7281440500397651","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 11:53:54","Молочная продукция","Алтайский край","Алтайский край, Ребрихинский р-н, с Ребриха, пр-кт Победы, 2А/1","61597384440800601961482","0104627175131177215kpS_B",,"","2025-06-15 12:49:00","2224156015","31e6e17a-1574-4ac8-9ee9-779d2a2b0e76","Нет",,,,,,,,"04627175131177","cf41f18d-1fb6-4dd1-a934-a14a36e1eed5","Ребрихинский","7384440800601961","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 11:53:54","Молочная продукция","Алтайский край","Алтайский край, г Рубцовск, ул Сельмашская, 2","373487380440800951659482","0104627175131177215gjoF&",,"","2025-06-15 12:50:00","2224156015","75d33e2e-0cab-4ad4-a846-a93244ef8d29","Нет",,,,,,,,"04627175131177","f1f21a83-3290-4338-966d-f4c52e3d8b8e","Рубцовск","7380440800951659","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 11:53:54","Молочная продукция","Алтайский край","Алтайский край, Локтевский р-н, г Горняк, ул Октябрьская, 23","536057380440700400271482","0104627175131177215V*H3Q",,"","2025-06-15 12:51:00","2224156015","36d12ee3-3738-4b9a-93d9-7a7f473ee857","Нет",,,,,,,,"04627175131177","6e9d222d-305d-4649-bd28-626efe6e6842","Локтевский","7380440700400271","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 11:53:54","Молочная продукция","Алтайский край","Алтайский край, г Рубцовск, ул Сельмашская, 2","373487380440800951659482","0104627175131177215MmMEg",,"","2025-06-15 12:50:00","2224156015","23292f92-b7d9-448a-aa02-5d9ba22446ee","Нет",,,,,,,,"04627175131177","f1f21a83-3290-4338-966d-f4c52e3d8b8e","Рубцовск","7380440800951659","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 11:53:54","Молочная продукция","Алтайский край","Алтайский край, Топчихинский р-н, с Топчиха, ул Правды, 2/6","171607384440800349158482","0104627175131030215TUNe7",,"","2025-06-15 12:50:00","2224156015","4eba6249-d4d0-4f5e-b2d4-be74d0d2eafa","Нет",,,,,,,,"04627175131030","7b4ec75d-fe7a-4cfd-96d6-2240f0e88c6b","Топчихинский","7384440800349158","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 11:52:16","Молочная продукция","Алтайский край","Алтайский край, г Рубцовск, ул Строительная, 1","750007380440700400639482","01046271751311772154RL*7",,"","2025-06-15 12:47:00","2224156015","f69fc153-b263-487a-a90d-178f23c97f36","Нет",,,,,,,,"04627175131177","4c7bb129-a94c-48d1-bbe6-af0ac057a6a4","Рубцовск","7380440700400639","Да"
