"Вид отклонения","Результат проверки","Дата и время регистрации отклонения","Товарная группа","Субъект","Адрес места фиксации отклонения","Номер документа","Код","Идентификатор ВСД","Регистрационный номер ККТ (из чека)","Дата и время выполнения операции, в результате которой было выявлено отклонение","ИНН участника","Номер отклонения","Нивелировано","Объем из ВСД","Единицы измерения из ВСД","Объем из ГИС МТ","Единицы измерения из ГИС МТ","Разницы между объемами","Единицы измерения разницы","% превышения","GTIN","Идентификатор ФИАС","Муниципальный округ","Фискальный номер накопителя из чека операции","Проверка РР"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 12:00:38","Молочная продукция","Новосибирская область","Новосибирская обл, Черепановский р-н, г Черепаново, ул Спирякова, 224","4137380440902157719482","0104627175131030215sXRQ.",,"","2025-06-15 12:55:00","5405475428","01ef1bae-dca1-49c1-95a4-704aeae88ef6","Нет",,,,,,,,"04627175131030","00d4c333-0f0a-4e9e-9625-32feddce4367","Черепановский","7380440902157719","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 12:00:38","Молочная продукция","Новосибирская область","Новосибирская обл, Черепановский р-н, г Черепаново, ул Спирякова, 224","4137380440902157719482","0104627175131030215SY_ts",,"","2025-06-15 12:55:00","5405475428","2b29f128-d6e9-45e6-b683-9c782647dad1","Нет",,,,,,,,"04627175131030","00d4c333-0f0a-4e9e-9625-32feddce4367","Черепановский","7380440902157719","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 11:56:56","Молочная продукция","Новосибирская область","Новосибирская обл, Искитимский р-н, п Керамкомбинат, ул Школьная, 8","47367384440900659842482","0104627175131030215XZLuh",,"","2025-06-15 12:53:00","5405475428","8c4c3b44-bb09-438c-a720-1c077a2301aa","Нет",,,,,,,,"04627175131030","b0e62e22-2fb1-4770-bbc8-2025aea22bed","Искитимский","7384440900659842","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 11:53:56","Молочная продукция","Новосибирская область","Новосибирская обл, г Новосибирск, проезд Энергетиков, 17","61867380440801453656482","0104631149767811215J&od6",,"","2025-06-15 12:51:00","5405475428","2ac68733-6c7e-4a8c-a12a-87db13421656","Нет",,,,,,,,"04631149767811","c3a9e482-81c9-48b2-9e03-1cd288202623","Новосибирск","7380440801453656","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 11:53:56","Молочная продукция","Новосибирская область","Новосибирская обл, г Новосибирск, проезд Энергетиков, 17","61867380440801453656482","0104631149767811215J'sel",,"","2025-06-15 12:51:00","5405475428","4def6c75-8688-4f1d-879f-3cbaae46b1e2","Нет",,,,,,,,"04631149767811","c3a9e482-81c9-48b2-9e03-1cd288202623","Новосибирск","7380440801453656","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 11:53:56","Молочная продукция","Новосибирская область","Новосибирская обл, г Новосибирск, проезд Энергетиков, 17","61867380440801453656482","0104631149767811215IPaJP",,"","2025-06-15 12:51:00","5405475428","f59e8f8d-e7a8-472a-9b40-69c104719906","Нет",,,,,,,,"04631149767811","c3a9e482-81c9-48b2-9e03-1cd288202623","Новосибирск","7380440801453656","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 11:53:56","Молочная продукция","Новосибирская область","Новосибирская обл, г Новосибирск, проезд Энергетиков, 17","61867380440801453656482","0104631149767811215IO.zo",,"","2025-06-15 12:51:00","5405475428","b733c2eb-0213-4437-9df6-8a12a1605080","Нет",,,,,,,,"04631149767811","c3a9e482-81c9-48b2-9e03-1cd288202623","Новосибирск","7380440801453656","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 11:53:56","Молочная продукция","Новосибирская область","Новосибирская обл, г Новосибирск, проезд Энергетиков, 17","61867380440801453656482","0104631149767811215IQibX",,"","2025-06-15 12:51:00","5405475428","214ed6e9-137a-412b-b8d5-a0972957ad8c","Нет",,,,,,,,"04631149767811","c3a9e482-81c9-48b2-9e03-1cd288202623","Новосибирск","7380440801453656","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 11:53:56","Молочная продукция","Новосибирская область","Новосибирская обл, г Новосибирск, проезд Энергетиков, 17","61867380440801453656482","0104631149767811215IKaUb",,"","2025-06-15 12:51:00","5405475428","00d6579d-2968-4945-ac7a-6c8013a744b9","Нет",,,,,,,,"04631149767811","c3a9e482-81c9-48b2-9e03-1cd288202623","Новосибирск","7380440801453656","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 11:53:56","Молочная продукция","Новосибирская область","Новосибирская обл, г Новосибирск, проезд Энергетиков, 17","61867380440801453656482","0104631149767811215J&5pg",,"","2025-06-15 12:51:00","5405475428","99805418-c550-431c-a419-6744feb6d045","Нет",,,,,,,,"04631149767811","c3a9e482-81c9-48b2-9e03-1cd288202623","Новосибирск","7380440801453656","Да"
